country_code,year,tourist_arrivals,co2_pc,life_exp,broadband_p100,mobile_p100,hosp_beds_p1000,tour_receipts_pctexp,pm25,renew_energy_pct,rnd_pct_gdp,population,gdp_pc,urban_pct,region,income_group,country_name
GRC,1995,10712000.0,7.45887964319396,77.5853658536585,,2.544760045,4.9000000954,26.9406686851768,26.0130467479306,8.3,,10562153,12779.081491606,72.0831868417364,Europe & Central Asia,High income,Greece
GRD,1995,369000.0,1.49964590294748,72.094,,0.384393619,5.5,61.4077088819727,12.1890847631643,7.4,,103869,3294.26988339657,34.4927373890347,Latin America & Caribbean,Upper middle income,Grenada
GRL,1995,,9.00320788530466,65.6441463414634,,3.678210368,,,1.61515344565244,10.7,,55800,21665.8295173116,81.0566635131836,Europe & Central Asia,High income,Greenland
GTM,1995,563000.0,0.688410969161806,63.662,,0.289479296,,7.65035064107105,37.833457286565,65.0,,10312996,1421.06177809796,35.7556305117631,Latin America & Caribbean,Upper middle income,Guatemala
GUM,1995,1362000.0,,74.511,,3.307927032,,,4.03420809473714,0.4,,150054,,92.0368700659536,East Asia & Pacific,High income,Guam
GUY,1995,106000.0,1.92191028135102,62.668,,0.16536094,3.1,,23.8297980303279,31.0,,758388,819.668541584905,29.366438121652,Latin America & Caribbean,High income,Guyana
HKG,1995,10200000.0,5.1120342424587,78.6787804878049,,12.78653153,,,,0.1,,6156100,23497.3920767477,99.9932976351594,East Asia & Pacific,High income,"Hong Kong SAR, China"
HND,1995,,0.679567584875315,66.919,,0.0,,5.19941277220455,36.7104795282989,63.0,,5739637,814.049075569071,42.8611266380328,Latin America & Caribbean,Lower middle income,Honduras
HRV,1995,16100000.0,3.63794045834226,72.0843902439024,,0.700796738,5.75,,26.0807878744354,30.3,,4620030,4929.02083885825,55.1568369839241,Europe & Central Asia,High income,Croatia
HTI,1995,370000.0,0.115358616313499,55.582,,0.0,,46.7872738615097,14.332588524313,87.0,,7562546,372.006104665125,29.8304516400811,Latin America & Caribbean,Lower middle income,Haiti
HUN,1995,39240000.0,5.84471154660704,69.7917073170732,,2.566046652,8.8000001907,16.1840775117636,25.5473546373623,5.4,,10328965,4509.41740910077,62.6263403226773,Europe & Central Asia,High income,Hungary
IDN,1995,4324000.0,1.14207742997843,65.263,,0.106310098,,,28.4196301903273,50.7,,199888057,1011.22614205568,36.3023505153847,East Asia & Pacific,Upper middle income,Indonesia
IMN,1995,,,73.371,,,,,,,,71513,12896.5252829716,51.7838845879791,Europe & Central Asia,High income,Isle of Man
IND,1995,2124000.0,0.844952256536776,60.63,,0.007952054,,,48.0040000846993,49.5,,960301044,375.17600537305,26.5661772139368,South Asia,Lower middle income,India
IRL,1995,4818000.0,9.1358962614313,75.4693170731707,,4.414046502,5.1999998093,,13.3028378176904,1.9,,3608841,19158.4564773907,57.9391944274763,Europe & Central Asia,High income,Ireland
IRN,1995,452000.0,4.50580672324342,67.904,,0.026156838,,1.08162296206405,34.6121212886486,1.0,,62205567,1550.0095955025,60.42333984375,Middle East & North Africa,Lower middle income,"Iran, Islamic Rep."
IRQ,1995,61000.0,3.67908754914482,64.761,,0.0,,,44.3193458594366,0.4,,20825860,619.135530927038,67.845869106155,Middle East & North Africa,Upper middle income,Iraq
ISL,1995,211000.0,7.28003723809951,77.9843902439024,,11.53724022,14.6000003815,12.3869147819099,6.16374572552297,55.7,,267468,27564.569102386,91.6399917602539,Europe & Central Asia,High income,Iceland
ISR,1995,2530000.0,9.21544544634806,77.4512195121951,,8.130637479,5.9800000191,12.6946377791838,29.4182171658389,5.4,,5545000,19013.94330229,90.8511786571744,Middle East & North Africa,High income,Israel
ITA,1995,55706000.0,7.57303327300891,78.1707317073171,,6.896354594,6.3000001907,10.4810210789702,30.0040005770308,4.5,,56844303,20712.1798690324,66.8166099473719,Europe & Central Asia,High income,Italy
JAM,1995,1752000.0,3.6172287817643,71.488,,1.798776746,2.1,35.3280886296002,18.3582758459117,13.7,,2500151,2630.84935382822,50.5669713966556,Latin America & Caribbean,Upper middle income,Jamaica
JOR,1995,3277000.0,2.96461482681465,70.915,,0.265578334,,27.9697291005888,22.6426759753294,2.2,,4752096,1415.71151592128,78.2491281447452,Middle East & North Africa,Lower middle income,Jordan
JPN,1995,3345000.0,9.4344441760537,79.5360975609756,,9.337292835,15.3999996185,,12.558003297756,3.7,,125472000,44947.4763611465,78.0190838015653,East Asia & Pacific,High income,Japan
KAZ,1995,,10.6961333051249,63.717,,0.027990199,11.6499996185,2.594098843534,19.381727173187,1.6,,16730536,1217.79138769863,56.7529543748356,Europe & Central Asia,Upper middle income,Kazakhstan
